Example No., Name of Website / Email                        , Is It Malicious?, Reason for Malicious
         11, FedEx — Delivery Failed Email                  , YES             , "Sender domain is 'fedex-delivery-alert.com' — not fedex.com. Email contains no real tracking number or shipment reference. CTA button links to a non-FedEx domain. Urgency language claims package will be returned if not rescheduled immediately."
         12, LinkedIn — Exclusive Job Offer Email           , YES             , "Sender domain is 'linkedin-jobs.net' — not linkedin.com. Job application form requests date of birth and Social Security Number — legitimate employers do not collect SSN via email. Salary offer is unrealistically high with no role description."
         13, Steam — Trade Offer Login Page                 , YES             , "Domain is 'steamcommunity.trade' — not steampowered.com or steamcommunity.com. The page mimics Steam's login interface nearly pixel-for-pixel. Difference is only visible in the domain. Designed to steal Steam credentials via a fake trade notification."
         14, Zoom — Missed Meeting Email                    , YES             , "Sender domain is 'zoom-meeting.net' — not zoom.us. Email claims the user missed an urgent meeting and must join immediately. Link destination is a non-Zoom domain. Urgency and fabricated missed call create pressure to click without verifying."
         15, DocuSign — Signature Required Email            , YES             , "Sender domain is 'docu-sign.services' — legitimate DocuSign uses docusign.com or adobesign.com. User did not request or expect this document. Sender display name says 'DocuSign' but actual email address reveals the fake domain."
         16, Instagram — Prize Winner Email                 , YES             , "Sender domain is 'instagram-rewards.com' — not instagram.com. Instagram does not run unsolicited random prize draws. Email requests a 'shipping fee' to claim prize — a classic advance fee fraud. Uses excitement and urgency to manipulate."
         17, Company IT Helpdesk — Password Reset Login Page, YES             , "Page is hosted on 'company-helpdesk-support.net' — an external domain, not the company's internal network. Legitimate IT helpdesk portals use internal domains. No company logo or name is shown. Collects employee credentials for account takeover."
         18, Government — COVID Relief Fund Email           , YES             , "Domain is 'covid-relief-government.com' — not a .gov domain. Real government relief programs are administered via irs.gov or benefits.gov. Email asks for bank account number and routing number for 'direct deposit.' Classic financial data harvest."
         19, Venmo — Unclaimed Payment Email                , YES             , "Sender domain is 'venmo-payments.co' — not venmo.com. Email claims the user has an incoming payment waiting. To 'receive' it, the user must enter full card number and CVV — recipients of Venmo payments never need to provide card details."
         20, Windows Defender — Browser Alert Popup         , YES             , "Fake browser-based security warning impersonates Windows Defender. Displays inflated threat counts to create panic. Includes a phone number to call — Microsoft's legitimate security software never asks users to call a number via a browser popup."
         21, Bank — OTP Verification Email                  , YES             , "Email asks the user to enter their One-Time Password (OTP) by clicking a link. Legitimate banks send OTPs directly to your phone for use on their official site — they never request OTPs via email. Generic greeting and wrong sender domain confirm phishing."
         22, Global Lottery — Winner Notification Email     , YES             , "User never entered any lottery. Email claims a multi-million dollar prize win. Requires payment of a 'processing fee' to release winnings — a textbook advance fee fraud. Contains grammar and spelling errors consistent with bulk phishing campaigns."
         23, Adobe Sign — Document Review Email             , YES             , "Sender domain is 'adobe-esign.services' — legitimate Adobe Sign uses adobesign.com. User did not initiate or expect this signing request. Display name says 'Adobe Sign' but the actual sending address reveals the counterfeit domain."
         24, University — Student Portal Login Page         , YES             , "Domain uses '.edu.co' — not a legitimate US educational institution domain (.edu is federally controlled). Login form requests Social Security Number alongside student ID. Generic 'University Portal' branding with no institution name is a major red flag."
         25, QR Code — Secure Payment Verification          , YES             , "QR code resolves to 'paymentqr-scan.com' — not associated with any known payment processor. QR codes hide their destination until scanned. Urgency text claims verification must be completed immediately. Unknown destination + pressure = phishing."
         26, Google — New Sign-In Alert Email               , NO              , "Sender is 'no-reply@accounts.google.com' — an official Google domain. Email is personalized with the user's full email address. Shows specific device type, location, and time of sign-in. No credentials are requested — user is only asked to secure account if they did not sign in."
         27, Amazon — Order Confirmation Email              , NO              , "Sender is 'auto-confirm@amazon.com' — the official Amazon domain. Email includes a specific 17-digit order number. Shows exact product name, price, and estimated delivery dates. No login or payment action is required — it is a receipt."
         28, GitHub — New Public Key Alert Email            , NO              , "Sender is 'noreply@github.com' — the official GitHub domain. Email is purely informational, notifying the user that a new SSH key was added. No links prompt credential entry. User can ignore if they added the key themselves."
         29, Netflix — Payment Confirmation Email           , NO              , "Sender is 'info@mailer.netflix.com' — a legitimate Netflix subdomain used for transactional mail. Email shows specific plan name, billing amount, and renewal date. No action is required from the user. No sensitive information is requested."
         30, PayPal — Transaction Receipt Email             , NO              , "Sender is 'service@paypal.com' — the official PayPal domain. Email contains a specific dollar amount, recipient name, and transaction ID. No credentials or personal information are requested. User is not asked to click any verification link."
         31, LinkedIn — Connection Request Email            , NO              , "Sender is 'messages-noreply@linkedin.com' — the official LinkedIn domain. Email shows the connecting person's name, title, and profile photo. No sensitive information is requested. User can accept or ignore directly from their LinkedIn account."
         32, Zoom — Meeting Invitation Email                , NO              , "Sender is 'no-reply@zoom.us' — the official Zoom domain (.us is Zoom's real TLD). Email includes a real meeting ID, passcode, and host name. No credentials are requested. User can join directly via the Zoom app without entering any personal data."
         33, Spotify — Subscription Renewal Email           , NO              , "Sender is 'no-reply@spotify.com' — the official Spotify domain. Email shows specific plan name and renewal amount. It is a receipt, not a request. No links prompt the user to enter payment details or credentials."
         34, Apple — App Store Purchase Receipt             , NO              , "Sender is 'no_reply@email.apple.com' — a legitimate Apple transactional email subdomain. Email shows a specific app name, version, and purchase amount. No action is required. Apple never requests payment or credential re-entry via a receipt email."
         35, Google Drive — File Shared Notification        , NO              , "Sender is 'drive-shares-noreply@google.com' — an official Google domain. Email names the specific person who shared the file and the file title. User can verify by navigating directly to drive.google.com. No credentials are requested."
         36, Facebook — Suspicious Login Alert Email        , NO              , "Sender is 'security@facebookmail.com' — Facebook's official security email domain. Email shows specific sign-in device, browser, location, and timestamp. No credentials are requested — user is only prompted to secure account if they did not perform the login."
         37, Twitter/X — Weekly Activity Digest             , NO              , "Sender is 'info@twitter.com' — the official Twitter/X domain. Email is a digest of account activity metrics. No links require the user to enter credentials. Content is purely informational with no urgency or threats."
         38, Slack — Workspace Invitation Email             , NO              , "Sender is 'no-reply@slack.com' — the official Slack domain. Email shows the specific workspace name and the name of the person who sent the invite. No sensitive personal information is requested beyond creating a Slack account."
         39, Stripe — Invoice Ready Notification            , NO              , "Sender uses 'receipts+acct_XXXX@stripe.com' — a legitimate Stripe format for invoice emails. Email contains a specific invoice number and amount. No credentials are requested. User can log in directly at stripe.com to view and pay."
         40, GitHub — Pull Request Review Request           , NO              , "Sender is 'notifications@github.com' — the official GitHub notifications domain. Email references a specific repository name, pull request title, and requesting developer. No credentials are requested. Standard code review workflow communication."
         41, Airbnb — Booking Confirmation Email            , NO              , "Sender is 'automated@airbnb.com' — the official Airbnb domain. Email includes specific property name, host name, check-in and check-out dates, and total amount paid. No further action or credential entry is required."
         42, Uber — Trip Receipt Email                      , NO              , "Sender is 'noreply@uber.com' — the official Uber domain. Email shows the pickup and drop-off locations, fare breakdown, driver name, and date. It is a receipt. No payment details or credentials are requested from the user."
         43, Microsoft — Unusual Sign-In Activity Email     , NO              , "Sender is 'account-security-noreply@accountprotection.microsoft.com' — a legitimate Microsoft subdomain for security alerts. Email shows specific sign-in location and device. No credentials are requested — user is notified and given option to review activity."
         44, Discord — Server Invitation Email              , NO              , "Sender is 'noreply@discord.com' — the official Discord domain. Email shows the specific server name and the inviting user's handle. No sensitive information is requested. User can join via the Discord app without entering personal data."
         45, Steam — Purchase Receipt Email                 , NO              , "Sender is 'noreply@steampowered.com' — the legitimate Steam domain (not .trade or .community.trade). Email includes a specific game title, purchase price, and transaction ID. It is a receipt requiring no further credential entry."
         46, Dropbox — File Shared Notification             , NO              , "Sender is 'no-reply@dropbox.com' — the official Dropbox domain. Email names the specific person sharing the file and the file name. No credentials are requested. User can access the file by logging into dropbox.com directly."
         47, Bank of America — Monthly Statement Ready      , NO              , "Sender is 'onlinebanking@ealerts.bankofamerica.com' — a legitimate Bank of America alert subdomain. Email does not include account numbers or balances for security. No credentials are requested. User is directed to log in at bankofamerica.com."
         48, Adobe — Creative Cloud Renewal Email           , NO              , "Sender is 'mail@mail.adobe.com' — a legitimate Adobe transactional email subdomain. Email shows specific plan name, renewal amount, and next billing date. It is a receipt. No credential entry or payment action is prompted via the email."
         49, Instagram — Mention Notification Email         , NO              , "Sender is 'no-reply@mail.instagram.com' — the official Instagram email subdomain. Email shows the specific @username who mentioned you and excerpt of their comment. No credentials are requested. Standard social notification format."
         50, YouTube — New Videos Digest Email              , NO              , "Sender is 'noreply@youtube.com' — the official YouTube domain. Email lists video titles and channel names from subscriptions. It is a weekly digest. No links prompt credential entry and no personal information is requested."
